WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
BALLAST,ballast,1.15,0.670820393,2.45,1.190974833,1.3,0.656946685,1.45,0.686332741,1.3,0.923380517,,ANG
BALLON,ballon,2.772727273,1.342769639,1.045454545,0.213200716,1.090909091,0.294244943,1.090909091,0.294244943,1.272727273,0.631085096,HAP,HAP
BALSAM,balsam,3.304347826,1.39592858,1,0,1.043478261,0.208514414,1,0,1.173913043,0.387553388,HAP,HAP
BALTIKUM,baltikum,1.7,1.174285897,1.1,0.307793506,1.1,0.447213595,1.1,0.307793506,1.2,0.894427191,,HAP
BANANE,banane,2.772727273,1.601541465,1.045454545,0.213200716,1.045454545,0.213200716,1,0,1,0,HAP,HAP
BANDIT,bandit,1.304347826,0.926124997,2.52173913,1.23838477,1.47826087,1.162660164,2.217391304,1.346933276,1.347826087,0.775106776,,ANG
BANK,bank,2,1.414213562,2.619047619,1.359271514,1.666666667,1.110555417,1.857142857,1.152636729,1.619047619,1.244033379,,ANG
BANNER,banner,1.434782609,0.895751942,1.217391304,0.51843486,1.086956522,0.288104066,1.043478261,0.208514414,1.043478261,0.208514414,,HAP
BARBAR,barbar,1.434782609,1.079818459,2.217391304,1.312752893,1.434782609,0.727766631,2.260869565,1.214210979,1.695652174,1.019571327,,FEA
BARGELD,bargeld,3.35,1.460893742,1.35,0.812727701,1.1,0.307793506,1.55,1.050062655,1.15,0.489360485,HAP,HAP
BARRIERE,barriere,1.1,0.307793506,2.65,0.933302004,1.35,0.587142949,1.7,0.923380517,1.05,0.223606798,ANG,ANG
BARSCH,barsch,1.772727273,1.151885336,1.590909091,1.140555041,1.318181818,0.945483683,1.227272727,0.611930449,1.454545455,0.670981706,,HAP
BASIS,basis,2.047619048,1.283596139,1.238095238,0.43643578,1.142857143,0.358568583,1.428571429,0.810643483,1.238095238,0.889087279,,HAP
